Cell	Longitude	Latitude
234	34.686665	47.520027
235	34.699944	47.51983
236	34.71322	47.519634
237	34.726498	47.519432
238	34.739773	47.519234
239	34.753048	47.51903
240	34.50103	47.531605
241	34.51431	47.53143
242	34.52759	47.531254
243	34.54087	47.53108
244	34.554153	47.5309
245	34.567432	47.530716
246	34.580715	47.530533
247	34.593994	47.53035
248	34.607273	47.530167
249	34.620556	47.52998
250	34.633835	47.52979
251	34.647114	47.5296
252	34.660393	47.529408
253	34.673676	47.529217
254	34.686954	47.529022
255	34.700233	47.528824
256	34.713512	47.528625
257	34.72679	47.528427
258	34.74007	47.528225
259	34.75335	47.528023
260	34.501286	47.5406
261	34.51457	47.540424
262	34.52785	47.54025
263	34.541134	47.54007
264	34.554417	47.53989
265	34.567703	47.53971
266	34.580986	47.539528
267	34.59427	47.539345
268	34.607548	47.539158
269	34.62083	47.53897
270	34.634113	47.538784
271	34.647396	47.538593
272	34.66068	47.538403
273	34.67396	47.538208
274	34.68724	47.538013
275	34.700523	47.53782
276	34.713806	47.53762
277	34.727085	47.537422
278	34.740368	47.53722
279	34.753647	47.537018
280	34.50154	47.549595
281	34.514828	47.54942
282	34.528114	47.549244
283	34.5414	47.549065
284	34.554684	47.548885
285	34.56797	47.548706
286	34.581253	47.548523
287	34.59454	47.54834
288	34.607826	47.548153
289	34.62111	47.547966
290	34.634396	47.54778
291	34.64768	47.54759
292	34.66096	47.547398
293	34.674248	47.547203
294	34.68753	47.54701
295	34.700813	47.546814
296	34.7141	47.546616
297	34.727383	47.546413
298	34.740665	47.546215
299	34.75395	47.546013
300	34.5018	47.55859
301	34.515087	47.558414
302	34.528374	47.55824
303	34.541664	47.55806
304	34.55495	47.55788
305	34.568237	47.5577
306	34.581524	47.557518
307	34.594814	47.557335
308	34.6081	47.557148
309	34.621387	47.55696
310	34.634674	47.556774
311	34.64796	47.556583
312	34.661247	47.55639
313	34.674534	47.5562
314	34.68782	47.556004
315	34.701107	47.555805
316	34.71439	47.555607
317	34.727676	47.55541
318	34.740963	47.555206
319	34.75425	47.555004
320	34.502056	47.567585
321	34.515347	47.56741
322	34.528637	47.567234
323	34.541927	47.567055
324	34.555218	47.566875
325	34.56851	47.566696
326	34.581795	47.566513
327	34.595085	47.56633
328	34.608376	47.566143
329	34.621666	47.565956
330	34.634953	47.565765
331	34.648243	47.565575
332	34.66153	47.565384
333	34.67482	47.565193
334	34.68811	47.564995
335	34.701397	47.5648
336	34.714684	47.5646
337	34.727974	47.564404
338	34.74126	47.5642
339	34.75455	47.564
340	34.502316	47.57658
341	34.515606	47.576405
342	34.5289	47.57623
343	34.54219	47.57605
344	34.555485	47.57587
345	34.568775	47.57569
346	34.582066	47.57551
347	34.59536	47.57532
348	34.60865	47.575138
349	34.62194	47.57495
350	34.635235	47.57476
351	34.648525	47.57457
352	34.661816	47.57438
353	34.675106	47.574184
354	34.688396	47.57399
355	34.701687	47.573795
356	34.714977	47.573597
357	34.728268	47.573395
358	34.741558	47.573196
359	34.75485	47.572994
360	34.50257	47.585575
361	34.515865	47.5854
362	34.52916	47.585224
363	34.542454	47.585045
364	34.555748	47.584866
365	34.569042	47.584682
366	34.582336	47.5845
367	34.59563	47.584316
368	34.608925	47.58413
369	34.62222	47.583942
370	34.635513	47.583755
371	34.648808	47.583565
372	34.6621	47.583374
373	34.675392	47.58318
374	34.688686	47.582985
375	34.70198	47.582787
376	34.71527	47.58259
377	34.728565	47.58239
378	34.74186	47.582188
379	34.75515	47.581985
380	34.50283	47.59457
381	34.516125	47.594395
382	34.529423	47.594215
383	34.54272	47.59404
384	34.556015	47.59386
385	34.569313	47.593678
386	34.58261	47.593494
387	34.595905	47.59331
388	34.609203	47.593124
389	34.622498	47.592937
390	34.635796	47.59275
391	34.64909	47.59256
392	34.662384	47.592365
393	34.675682	47.592175
394	34.688976	47.59198
395	34.70227	47.59178
396	34.715565	47.591583
397	34.728863	47.591385
398	34.742157	47.591183
399	34.75545	47.59098
400	34.101387	47.16271
401	34.12777	47.162453
402	34.154152	47.16219
403	34.18053	47.16192
404	34.206913	47.161644
405	34.23329	47.161366
406	34.259674	47.16108
407	34.286053	47.160786
408	34.31243	47.160484
409	34.33881	47.16018
410	34.36519	47.15987
411	34.391567	47.15955
412	34.417946	47.15923
413	34.44432	47.158897
414	34.4707	47.15856
415	34.497074	47.158222
416	34.523453	47.15787
417	34.549828	47.15752
418	34.576202	47.157158
419	34.602573	47.15679
420	34.62895	47.15642
421	34.655323	47.156044
422	34.681694	47.15566
423	34.708065	47.15527
424	34.734436	47.154873
425	34.760807	47.15447
426	34.787178	47.15406
427	34.81355	47.15365
428	34.839916	47.153225
429	34.866287	47.152798
430	34.892654	47.152367
431	34.91902	47.151928
432	34.94539	47.15148
